                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.091,                 3.0278,                0.21079,                0.37992,                0.52453,                0.74861,                0.75091,                0.81297,                0.67366,                0.72719,                0.70737,                0.72786,                0.48703,                 0.9645,                 2.3131,                0.14154,                0.36145,                0.50736,               0.002934,               0.002934,               0.002934
                      2,                 1.0207,                 2.7216,                0.19646,                0.34055,                0.50384,                0.78685,                0.75659,                0.83329,                0.69696,                0.77629,                 0.7168,                 0.7536,                0.50001,                 0.9229,                 2.1543,                0.13751,                0.35125,                 0.4924,              0.0058119,              0.0058119,              0.0058119
                      3,                 1.0015,                 2.5812,                0.18961,                0.33133,                0.49597,                0.78777,                0.77137,                 0.8336,                0.70226,                0.77678,                0.73387,                0.76467,                0.51108,                0.88969,                 2.0004,                0.13387,                0.31714,                 0.4849,              0.0086315,              0.0086315,              0.0086315
                      4,                0.98281,                 2.4842,                0.18482,                 0.3229,                0.49262,                0.78146,                 0.7774,                0.83621,                0.70426,                 0.7758,                 0.7425,                0.77408,                0.52117,                0.88109,                 1.9388,                0.13339,                 0.3147,                0.48187,              0.0097027,              0.0097027,              0.0097027
                      5,                 0.9499,                 2.3436,                0.18013,                0.31038,                0.48551,                0.78635,                0.79343,                0.85025,                0.71905,                0.78628,                0.75285,                0.79435,                0.54054,                0.86324,                 1.8423,                0.13255,                0.29076,                0.47836,              0.0096036,              0.0096036,              0.0096036
                      6,                0.93656,                 2.2707,                0.17929,                0.30327,                0.48265,                0.77317,                0.78467,                0.84119,                0.71609,                0.77204,                0.75426,                0.79676,                0.54927,                0.85264,                 1.8071,                0.12931,                0.30154,                0.47541,              0.0095045,              0.0095045,              0.0095045
                      7,                0.92499,                 2.2159,                0.17723,                0.29907,                0.48089,                0.77288,                 0.7931,                0.84748,                0.72167,                0.77336,                 0.7641,                0.80559,                0.56143,                0.84652,                 1.7451,                0.12452,                0.29641,                0.47354,              0.0094054,              0.0094054,              0.0094054
                      8,                0.90948,                 2.1485,                0.17222,                0.29236,                0.47639,                0.77357,                0.79718,                0.84201,                0.71834,                0.76443,                0.77706,                0.80138,                0.56463,                0.83817,                 1.7289,                0.12469,                0.28147,                0.47257,              0.0093063,              0.0093063,              0.0093063
                      9,                0.89598,                 2.0926,                0.16892,                0.28752,                0.47412,                0.75741,                0.80798,                0.84357,                0.72093,                0.75653,                0.78563,                0.80943,                0.57188,                0.83375,                 1.6672,                 0.1173,                0.29046,                0.46917,              0.0092072,              0.0092072,              0.0092072
                     10,                0.88402,                 2.0387,                0.16561,                0.28384,                0.47137,                0.77532,                0.79729,                0.85241,                0.72913,                0.77558,                0.77456,                0.81808,                0.57848,                0.82638,                 1.6462,                0.11775,                0.28688,                0.46925,              0.0091081,              0.0091081,              0.0091081
